"Substance","X.1","X","ChemClass","pKa","MW","Tm","Pvap25","Sol25","Kaw25","Kow","Ksw","Kp.col","Kp.susp","Kp.sed","Kp.soil","RadS","RhoS","hamakerSP.w","Shape","Longest_side","Intermediate_side","Shortest_side"
"BENZOTRIFLUORIDE",425,426,"neutral",NA,146.11,NA,5173.333332,140,NA,1023.292992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzthiazuron",426,427,"neutral",NA,207.25,NA,8.88e-05,12,NA,125.8925412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"benzyl butyl phthalate",427,428,"",NA,312,-35,4.1e-05,2.7,NA,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENZYLMALONIC ACID, DIETHYL ESTER",428,429,"neutral",NA,250.3,NA,0.26,103.6,NA,575.4399373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BETA-CYPERMETHRIN ISOMER",429,430,"neutral",NA,416.31,NA,0.173333333,0.115,NA,1148153.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BETA-PHENYLPROPIONIC ACID",430,431,"acid",4.66,150.18,NA,0.356,5900,NA,69.18309709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BICYCLO(2,2,1)HEPTA-2,5-DIENE",431,432,"neutral",NA,92.14,NA,8813.333331,187.3,NA,467.7351413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bis-(chloromethyl) ether",432,433,"neutral",NA,114.96,NA,3919.999999,22000,NA,3.715352291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bis(2-ethylhexyl) adipate",433,434,"",NA,371,-76,1e-08,0.5,NA,1.3e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bis(2-ethylhexyl) phthalate",434,435,"",NA,391,-46,0.00086,100,NA,2500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bis(2-methoxyethyl) ether",435,436,"",NA,134,-64,200,0.98,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bis(alpha,alpha-dimethylbenzyl) peroxide",436,437,"",NA,270,39,2.1e-07,37,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bis(pentabromophenyl) ether",437,438,"",NA,959,305,1.4e-18,0.003,NA,7.5e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIS(TRI-N-BUTYLTIN) OXIDE",438,439,"neutral",NA,596.12,NA,0.001,19.5,NA,6918.309709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bixin",439,440,"acid",4.09,394.52,NA,3.27e-08,0.0007697,NA,169824365.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borneol",440,441,"neutral",NA,154.25,NA,6.693333332,738,NA,1023.292992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROMACIL",441,442,"base",9.3,261.12,NA,4.09e-05,815,NA,128.8249552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROMOCYCLOHEXANE",442,443,"neutral",NA,163.06,NA,331.9999999,828,NA,1584.893192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromoethylene",443,444,"neutral",NA,106.95,NA,137333.3333,5079,NA,37.15352291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROMOXYNIL",444,445,"acid",3.86,276.92,NA,6.29e-06,130,NA,2454.708916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromoxynil octanoate",445,446,"neutral",NA,403.12,NA,0.00064,0.08,NA,251188.6432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRUCINE",446,447,"base",8.28,394.47,NA,4.17e-08,3200,NA,9.54992586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buprofezin",447,448,"base",6.62,305.44,NA,0.001253333,0.9,NA,19952.62315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"buta-1,3-diene",448,449,"",NA,54,-109,240000,500,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butanamide, N,N'-(3,3'-dimethyl 1,1'-biphenyl -4,4'-diyl)bis 2- (2,4-dichlorophenyl)azo -3-oxo-",449,450,"neutral",NA,726.45,NA,2.47e-21,6.93e-07,NA,204173794.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butane-1,4-diol",450,451,"",NA,90,20,1.9,15,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUTANEDIOC ACID",451,452,"acid",4.21,118.09,NA,2.55e-05,83200,NA,0.257039578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butanedioic acid, methylene-",452,453,"acid",3.45,130.1,NA,0.011946667,76800,NA,0.45708819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUTANETHIOL",453,454,"acid",10.78,90.18,NA,6066.666665,597,NA,190.5460718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butanoic acid, 2-methyl-, (,+-,)-",454,455,"acid",4.81,102.13,NA,65.46666665,45000,NA,15.13561248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butanoic acid, 3,3-dimethyl-",455,456,"acid",4.75,116.16,NA,78.93333331,5670,NA,87.096359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butanone oxime",456,457,"",NA,87,-22,350,110000,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butyl acrylate",457,458,"",NA,128,-65,430,2000,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butyl carbamate",458,459,"",NA,117,52,7.4,1000,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUTYL XANTHATE",459,460,"acid",3.59,150.25,NA,15.06666666,1993,NA,70.79457844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butyric acid",460,461,"",NA,88,-6,56,0.053,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUTYRIC ACID",461,462,"acid",4.82,88.11,NA,219.9999999,60000,NA,6.165950019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C,I, Basic Green 4",462,463,"base",3.12,364.92,NA,3.27e-11,40000,NA,4.168693835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caffeine",463,464,"",NA,194,236,0.0011,20000,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camphene",464,465,"",NA,147,46,240,4.2,NA,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMPHENE",465,466,"neutral",NA,136.24,NA,334.6666666,4.6,NA,16595.86907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAPTAFOL",466,467,"neutral",NA,349.06,NA,2e-06,1.4,NA,6309.573445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
